call_id,deal_id,contact_name,call_date,duration_min,sentiment_score,objections_count,economic_buyer_attended
CALL-251e3072,DEAL-1000,John Doe,2026-05-14,30,89,1,True
CALL-89802fd1,DEAL-1000,John Doe,2026-05-14,18,83,1,True
CALL-6f248879,DEAL-1000,John Doe,2026-05-24,45,90,1,True
CALL-23ee1030,DEAL-1001,Bob Doe,2026-05-01,19,83,1,True
CALL-da232b3a,DEAL-1001,Bob Doe,2026-05-30,25,86,0,True
CALL-7b99c6cf,DEAL-1002,Diana Doe,2026-05-14,31,91,1,True
CALL-f3df026b,DEAL-1002,Diana Doe,2026-05-24,41,80,0,True
CALL-3e85f943,DEAL-1003,John Taylor,2026-05-02,55,70,1,True
CALL-189a6440,DEAL-1003,John Taylor,2026-05-27,57,39,5,True
CALL-85ab9d5d,DEAL-1003,John Taylor,2026-05-24,24,52,1,False
CALL-a00177e4,DEAL-1004,Grace Davis,2026-05-05,31,48,3,False
CALL-228d2df6,DEAL-1004,Grace Davis,2026-05-05,16,93,3,True
CALL-a465f988,DEAL-1004,Grace Davis,2026-05-30,28,40,2,True
CALL-f79e5d92,DEAL-1004,Grace Davis,2026-05-04,54,89,0,True
CALL-53a631eb,DEAL-1005,Eve Smith,2026-05-20,19,80,1,True
CALL-bcda7ff7,DEAL-1005,Eve Smith,2026-05-26,25,85,1,True
CALL-58174d06,DEAL-1006,Eve Brown,2026-05-23,51,80,0,True
CALL-46ab35d6,DEAL-1007,Frank Anderson,2026-05-15,58,93,0,True
CALL-082c9a0b,DEAL-1007,Frank Anderson,2026-05-23,26,82,1,True
CALL-396dcea5,DEAL-1007,Frank Anderson,2026-05-01,34,93,0,True
CALL-aec69b5b,DEAL-1007,Frank Anderson,2026-05-13,43,86,1,True
CALL-288d5958,DEAL-1008,Bob Johnson,2026-05-18,52,37,5,True
CALL-2da698f6,DEAL-1009,Grace Taylor,2026-05-16,56,54,0,False
CALL-c90a429f,DEAL-1009,Grace Taylor,2026-05-02,46,46,3,False
CALL-d8c22a2f,DEAL-10010,Alice Wilson,2026-05-12,30,85,1,True
CALL-c4df01b7,DEAL-10010,Alice Wilson,2026-05-14,22,95,1,True
CALL-5427c3af,DEAL-10011,Bob Wilson,2026-05-23,51,87,0,True
CALL-eb544ce6,DEAL-10011,Bob Wilson,2026-05-29,29,87,0,True
CALL-0a8f56d6,DEAL-10011,Bob Wilson,2026-05-19,49,93,1,True
CALL-223c41fe,DEAL-10011,Bob Wilson,2026-05-13,39,88,1,True
CALL-62e5bddb,DEAL-10012,Frank Moore,2026-05-05,42,82,0,True
CALL-597b82e8,DEAL-10013,Alice Wilson,2026-05-18,58,63,5,False
CALL-845e4a90,DEAL-10014,Heidi Moore,2026-05-25,22,93,3,False
CALL-9a263fe3,DEAL-10014,Heidi Moore,2026-05-22,51,57,1,True
