profile_id,deal_id,person_name,current_company,current_role,changed_jobs_date,previous_company,hired_recently
LNK-369d57aa,DEAL-1000,John Doe,Stark Industries,VP of Engineering,,Some Other Corp,False
LNK-e52b2dee,DEAL-1001,Bob Doe,Stark Industries,VP of Engineering,,Some Other Corp,False
LNK-981926a8,DEAL-1002,Diana Doe,Oscorp,VP of Engineering,,Some Other Corp,False
LNK-5fcab49a,DEAL-1003,John Taylor,Acme Corp,VP of Engineering,2026-04-04,Some Other Corp,True
LNK-e29594ea,DEAL-1004,Grace Davis,Massive Dynamic,VP of Engineering,,Some Other Corp,False
LNK-197f02ec,DEAL-1005,Eve Smith,Wayne Enterprises,VP of Engineering,,Some Other Corp,False
LNK-8442b4cd,DEAL-1006,Eve Brown,Soylent,VP of Engineering,,Some Other Corp,False
LNK-b8340118,DEAL-1007,Frank Anderson,Stark Industries,VP of Engineering,,Some Other Corp,False
LNK-4a23b5b4,DEAL-1008,Bob Johnson,Massive Dynamic,VP of Engineering,,Some Other Corp,False
LNK-36a7e03b,DEAL-1009,Grace Taylor,Soylent,VP of Engineering,2026-03-24,Some Other Corp,True
LNK-918c1b49,DEAL-10010,Alice Wilson,Acme Corp,VP of Engineering,,Some Other Corp,False
LNK-adb84b74,DEAL-10011,Bob Wilson,Globex,VP of Engineering,,Some Other Corp,False
LNK-3a1f1c69,DEAL-10012,Frank Moore,Initech,VP of Engineering,,Some Other Corp,False
LNK-b1a5f589,DEAL-10013,Alice Wilson,Acme Corp,VP of Engineering,,Some Other Corp,False
LNK-52b1dcd2,DEAL-10014,Heidi Moore,Massive Dynamic,VP of Engineering,,Some Other Corp,False
