call_id,deal_id,contact_name,call_date,duration_min,sentiment_score,objections_count,economic_buyer_attended
CALL-21ce88d3,DEAL-1000,Diana Anderson,2026-05-19,55,93,2,False
CALL-4835fa26,DEAL-1001,Alice Johnson,2026-05-07,22,95,1,False
CALL-3620d48f,DEAL-1001,Alice Johnson,2026-05-13,20,90,3,True
CALL-db1f272e,DEAL-1001,Alice Johnson,2026-05-04,29,82,0,True
CALL-701e40a6,DEAL-1001,Alice Johnson,2026-05-13,41,45,2,True
CALL-283979ed,DEAL-1002,Eve Johnson,2026-05-13,52,50,5,False
CALL-fa42d9ec,DEAL-1002,Eve Johnson,2026-05-07,54,35,3,False
CALL-884528ba,DEAL-1003,Alice Taylor,2026-05-29,46,76,2,True
CALL-7de2ac6d,DEAL-1004,Frank Davis,2026-05-19,47,55,4,False
CALL-ade8bcaf,DEAL-1004,Frank Davis,2026-05-17,22,79,5,True
CALL-10532d21,DEAL-1004,Frank Davis,2026-05-20,46,90,2,True
CALL-a988d284,DEAL-1004,Frank Davis,2026-05-25,33,73,4,False
CALL-c89e8efe,DEAL-1005,Eve Johnson,2026-05-17,17,35,3,False
CALL-0de6f961,DEAL-1005,Eve Johnson,2026-05-10,46,87,5,False
CALL-8c997d97,DEAL-1006,Jane Miller,2026-05-08,54,62,5,False
CALL-b2f079ac,DEAL-1006,Jane Miller,2026-05-11,57,75,0,False
CALL-fdc30959,DEAL-1007,Jane Wilson,2026-05-07,38,95,5,False
CALL-b1199b85,DEAL-1008,Diana Johnson,2026-05-06,51,95,4,True
CALL-5e284ec3,DEAL-1008,Diana Johnson,2026-05-11,43,88,1,True
CALL-15d72404,DEAL-1008,Diana Johnson,2026-05-13,52,46,3,True
CALL-87bb4330,DEAL-1009,Jane Taylor,2026-05-19,57,48,4,True
CALL-e43ffdce,DEAL-1009,Jane Taylor,2026-05-03,37,37,2,True
CALL-09d5ea3e,DEAL-1009,Jane Taylor,2026-05-03,26,75,2,False
CALL-1a0fa371,DEAL-1009,Jane Taylor,2026-05-08,47,81,1,False
CALL-08fa4f84,DEAL-1010,Bob Smith,2026-05-13,60,42,3,False
CALL-1b9ff900,DEAL-1011,Bob Johnson,2026-05-13,17,54,3,False
CALL-0dff75cc,DEAL-1012,Bob Taylor,2026-05-25,44,91,5,True
CALL-0d85f98b,DEAL-1012,Bob Taylor,2026-05-19,17,41,1,False
CALL-7f6f444f,DEAL-1012,Bob Taylor,2026-05-11,27,42,1,False
CALL-455cf08c,DEAL-1013,Jane Taylor,2026-05-16,15,39,3,True
CALL-6b7ca492,DEAL-1013,Jane Taylor,2026-05-22,30,53,4,True
CALL-d9725aee,DEAL-1014,Frank Moore,2026-05-11,45,43,1,False
CALL-1d6fbd13,DEAL-1015,Grace Johnson,2026-05-27,28,35,2,True
CALL-218978e8,DEAL-1015,Grace Johnson,2026-05-13,34,50,2,False
CALL-1671229d,DEAL-1015,Grace Johnson,2026-05-27,59,32,4,False
CALL-af2f164c,DEAL-1015,Grace Johnson,2026-05-18,40,86,1,True
CALL-d904666b,DEAL-1016,Frank Taylor,2026-05-25,30,62,5,True
CALL-82347617,DEAL-1017,John Moore,2026-05-25,27,84,5,False
CALL-dfa32b03,DEAL-1018,Diana Anderson,2026-05-26,26,94,1,True
CALL-08d17d31,DEAL-1019,Eve Moore,2026-05-03,58,84,2,False
CALL-743382f8,DEAL-1019,Eve Moore,2026-05-07,52,41,1,True
CALL-32c0e281,DEAL-1019,Eve Moore,2026-05-26,49,42,4,True
CALL-e2e9b9ff,DEAL-1019,Eve Moore,2026-05-27,22,93,5,False
CALL-b3cce8bd,DEAL-1020,Heidi Brown,2026-05-05,56,66,2,True
CALL-7ece5169,DEAL-1020,Heidi Brown,2026-05-04,28,72,2,False
CALL-1aa4cd2b,DEAL-1020,Heidi Brown,2026-05-12,52,68,4,True
CALL-007b1930,DEAL-1020,Heidi Brown,2026-05-12,28,63,0,True
CALL-9df8a7a9,DEAL-1021,John Taylor,2026-05-24,36,88,4,True
CALL-1ce85907,DEAL-1022,Diana Smith,2026-05-12,31,34,2,True
CALL-659668d2,DEAL-1023,Heidi Johnson,2026-05-24,46,42,2,False
CALL-2fd303c0,DEAL-1023,Heidi Johnson,2026-05-26,42,43,0,False
CALL-9b389c2f,DEAL-1023,Heidi Johnson,2026-05-17,44,53,0,True
CALL-5da84612,DEAL-1024,John Davis,2026-05-19,32,47,2,False
CALL-8afa72c3,DEAL-1025,Diana Doe,2026-05-08,27,70,0,True
CALL-aa7e15fa,DEAL-1025,Diana Doe,2026-05-07,43,45,1,False
CALL-a467e9cb,DEAL-1025,Diana Doe,2026-05-29,44,40,2,True
CALL-8b59fce9,DEAL-1025,Diana Doe,2026-05-14,16,43,4,True
CALL-6d057dec,DEAL-1026,Heidi Wilson,2026-05-20,35,38,1,True
CALL-bf8d5d42,DEAL-1026,Heidi Wilson,2026-05-28,37,89,3,True
CALL-c0b008e6,DEAL-1026,Heidi Wilson,2026-05-28,58,65,2,False
CALL-9e91af0b,DEAL-1027,Jane Johnson,2026-05-25,29,90,0,False
CALL-17b87c4d,DEAL-1027,Jane Johnson,2026-05-06,22,46,0,False
CALL-b0c615fd,DEAL-1028,Eve Taylor,2026-05-23,37,60,2,False
CALL-2ef9d35c,DEAL-1028,Eve Taylor,2026-05-30,56,68,2,True
CALL-6c2bdd13,DEAL-1028,Eve Taylor,2026-05-01,32,47,1,True
CALL-3dfc0438,DEAL-1029,Charlie Davis,2026-05-07,17,47,0,False
CALL-e1dcc241,DEAL-1030,Charlie Miller,2026-05-10,33,72,0,False
CALL-b7fe2767,DEAL-1030,Charlie Miller,2026-05-22,52,71,4,True
CALL-042e3723,DEAL-1031,John Johnson,2026-05-18,53,36,5,False
CALL-5fb9fb34,DEAL-1031,John Johnson,2026-05-15,35,79,0,True
CALL-9fcbf485,DEAL-1032,Eve Wilson,2026-05-06,31,31,5,True
CALL-ab270429,DEAL-1032,Eve Wilson,2026-05-22,47,72,1,False
CALL-613000b9,DEAL-1032,Eve Wilson,2026-05-24,22,93,5,True
CALL-ae58b82b,DEAL-1033,John Miller,2026-05-17,20,31,0,False
CALL-4e50dde1,DEAL-1033,John Miller,2026-05-18,59,88,4,True
CALL-e56f06d2,DEAL-1033,John Miller,2026-05-18,54,32,5,False
CALL-e9578314,DEAL-1034,Diana Davis,2026-05-22,57,81,2,True
CALL-dafe336c,DEAL-1034,Diana Davis,2026-05-28,48,78,3,True
CALL-08e56017,DEAL-1034,Diana Davis,2026-05-04,33,44,3,False
CALL-4f55e0c7,DEAL-1034,Diana Davis,2026-05-01,41,76,0,False
CALL-57d5d335,DEAL-1035,Frank Taylor,2026-05-28,40,94,4,True
CALL-8bef1450,DEAL-1035,Frank Taylor,2026-05-25,25,69,4,True
CALL-a1b30ad1,DEAL-1035,Frank Taylor,2026-05-20,20,81,4,False
CALL-2951f042,DEAL-1036,Diana Brown,2026-05-29,34,91,2,True
CALL-f191c7ed,DEAL-1036,Diana Brown,2026-05-18,47,42,5,False
CALL-9bf96c4c,DEAL-1036,Diana Brown,2026-05-21,58,66,1,True
CALL-782da029,DEAL-1037,Frank Doe,2026-05-25,48,63,4,False
CALL-a41b74fd,DEAL-1037,Frank Doe,2026-05-01,45,91,2,False
CALL-aea46fd7,DEAL-1037,Frank Doe,2026-05-19,28,30,4,False
CALL-a96066ae,DEAL-1038,Diana Smith,2026-05-29,35,64,2,True
CALL-74e63b75,DEAL-1038,Diana Smith,2026-05-18,54,54,2,True
CALL-9e2863ba,DEAL-1038,Diana Smith,2026-05-13,26,75,2,False
CALL-f821e46b,DEAL-1039,Diana Davis,2026-05-01,21,80,3,True
CALL-bc610d63,DEAL-1039,Diana Davis,2026-05-22,32,85,3,False
CALL-fba5a8e9,DEAL-1039,Diana Davis,2026-05-09,60,32,0,True
CALL-921f521a,DEAL-1039,Diana Davis,2026-05-18,46,86,5,False
CALL-6b9d6b9d,DEAL-1040,Jane Brown,2026-05-09,32,88,3,True
CALL-ebbc3e32,DEAL-1040,Jane Brown,2026-05-28,30,32,2,False
CALL-b70b49f1,DEAL-1040,Jane Brown,2026-05-04,23,40,2,False
CALL-f40223a0,DEAL-1041,Diana Johnson,2026-05-06,24,72,2,True
CALL-1c817ce0,DEAL-1041,Diana Johnson,2026-05-30,59,45,5,True
CALL-cee32c67,DEAL-1041,Diana Johnson,2026-05-26,40,40,0,True
CALL-4fe68d74,DEAL-1041,Diana Johnson,2026-05-22,20,92,0,True
CALL-ca191909,DEAL-1042,Heidi Taylor,2026-05-29,57,90,1,False
CALL-7d2017cc,DEAL-1043,Bob Brown,2026-05-17,21,43,1,True
CALL-281091bb,DEAL-1043,Bob Brown,2026-05-01,45,42,1,False
CALL-d9a4b342,DEAL-1043,Bob Brown,2026-05-25,55,60,2,True
CALL-f190cba1,DEAL-1043,Bob Brown,2026-05-01,41,48,5,False
CALL-a4675932,DEAL-1044,Alice Taylor,2026-05-18,17,57,3,True
CALL-0ca91291,DEAL-1045,Alice Moore,2026-05-19,43,63,5,True
CALL-e6b4f3ce,DEAL-1045,Alice Moore,2026-05-13,27,45,1,False
CALL-5b9e2591,DEAL-1045,Alice Moore,2026-05-23,42,84,5,False
CALL-a7b25b12,DEAL-1045,Alice Moore,2026-05-18,37,32,4,True
CALL-28c80fdb,DEAL-1046,Charlie Anderson,2026-05-15,31,35,4,True
CALL-584a4173,DEAL-1047,Eve Taylor,2026-05-12,19,54,4,False
CALL-99909469,DEAL-1047,Eve Taylor,2026-05-26,49,87,2,False
CALL-ee5ed5ee,DEAL-1048,Heidi Doe,2026-05-13,42,87,1,False
CALL-89287211,DEAL-1048,Heidi Doe,2026-05-28,53,66,1,True
CALL-e1a7e101,DEAL-1048,Heidi Doe,2026-05-02,15,52,1,False
CALL-91e57c12,DEAL-1048,Heidi Doe,2026-05-04,43,93,1,True
