id,summary,description,start_date_time,end_date_time,attendees
CAL-cbdd408d,Sync with Diana Anderson - Globex 0,Discussing next steps,2026-06-04T00:00:00,2026-05-30T00:00:00,"diana@globex.com,vinita.sales@coralbean.com"
CAL-803f33c8,Sync with Alice Taylor - Hooli 3,Discussing next steps,2026-06-05T00:00:00,2026-06-05T00:00:00,"alice@hooli.com,vinita.sales@coralbean.com"
CAL-cf737269,Sync with Frank Davis - Acme Corp 4,Discussing next steps,2026-05-26T00:00:00,2026-05-21T00:00:00,"frank@acme.com,vinita.sales@coralbean.com"
CAL-4d586a48,Sync with Eve Johnson - Stark Industries 5,Discussing next steps,2026-05-26T00:00:00,2026-05-27T00:00:00,"eve@stark.com,vinita.sales@coralbean.com"
CAL-910ec1b6,Sync with Diana Johnson - Acme Corp 8,Discussing next steps,2026-05-30T00:00:00,2026-05-22T00:00:00,"diana@acme.com,vinita.sales@coralbean.com"
CAL-919a5f0a,Sync with Bob Johnson - Initech 11,Discussing next steps,2026-05-24T00:00:00,2026-05-25T00:00:00,"bob@initech.com,vinita.sales@coralbean.com"
CAL-e5245d04,Sync with Bob Taylor - Initech 12,Discussing next steps,2026-05-26T00:00:00,2026-06-04T00:00:00,"bob@initech.com,vinita.sales@coralbean.com"
CAL-5d87c93d,Sync with Frank Taylor - Cyberdyne 16,Discussing next steps,2026-06-01T00:00:00,2026-06-05T00:00:00,"frank@cyberdyne.com,vinita.sales@coralbean.com"
CAL-bc7b9a73,Sync with Diana Anderson - Acme Corp 18,Discussing next steps,2026-05-29T00:00:00,2026-05-23T00:00:00,"diana@acme.com,vinita.sales@coralbean.com"
CAL-0f16ae29,Sync with Eve Moore - Initech 19,Discussing next steps,2026-06-05T00:00:00,2026-06-02T00:00:00,"eve@initech.com,vinita.sales@coralbean.com"
CAL-cb3aa2f8,Sync with Heidi Brown - Soylent 20,Discussing next steps,2026-06-01T00:00:00,2026-06-01T00:00:00,"heidi@soylent.com,vinita.sales@coralbean.com"
CAL-eacfde09,Sync with John Taylor - Globex 21,Discussing next steps,2026-05-22T00:00:00,2026-05-24T00:00:00,"john@globex.com,vinita.sales@coralbean.com"
CAL-fee86c70,Sync with Diana Smith - Oscorp 22,Discussing next steps,2026-06-01T00:00:00,2026-05-27T00:00:00,"diana@oscorp.com,vinita.sales@coralbean.com"
CAL-41deec76,Sync with Heidi Johnson - Initech 23,Discussing next steps,2026-06-03T00:00:00,2026-05-21T00:00:00,"heidi@initech.com,vinita.sales@coralbean.com"
CAL-f018619d,Sync with Diana Doe - Stark Industries 25,Discussing next steps,2026-06-03T00:00:00,2026-05-26T00:00:00,"diana@stark.com,vinita.sales@coralbean.com"
CAL-ab9923b1,Sync with Jane Johnson - Cyberdyne 27,Discussing next steps,2026-05-25T00:00:00,2026-05-29T00:00:00,"jane@cyberdyne.com,vinita.sales@coralbean.com"
CAL-cd965a6f,Sync with John Johnson - Globex 31,Discussing next steps,2026-05-28T00:00:00,2026-05-27T00:00:00,"john@globex.com,vinita.sales@coralbean.com"
CAL-14519870,Sync with Eve Wilson - Soylent 32,Discussing next steps,2026-05-27T00:00:00,2026-05-25T00:00:00,"eve@soylent.com,vinita.sales@coralbean.com"
CAL-5b81cd5d,Sync with John Miller - Acme Corp 33,Discussing next steps,2026-05-25T00:00:00,2026-06-03T00:00:00,"john@acme.com,vinita.sales@coralbean.com"
CAL-39f6b2f3,Sync with Frank Taylor - Stark Industries 35,Discussing next steps,2026-06-01T00:00:00,2026-06-05T00:00:00,"frank@stark.com,vinita.sales@coralbean.com"
CAL-877f7437,Sync with Frank Doe - Wayne Enterprises 37,Discussing next steps,2026-05-28T00:00:00,2026-05-30T00:00:00,"frank@wayne.com,vinita.sales@coralbean.com"
CAL-deaee578,Sync with Diana Davis - Oscorp 39,Discussing next steps,2026-05-22T00:00:00,2026-05-22T00:00:00,"diana@oscorp.com,vinita.sales@coralbean.com"
CAL-4d29948e,Sync with Charlie Anderson - Cyberdyne 46,Discussing next steps,2026-06-01T00:00:00,2026-06-05T00:00:00,"charlie@cyberdyne.com,vinita.sales@coralbean.com"
CAL-02722d2c,Sync with Eve Taylor - Massive Dynamic 47,Discussing next steps,2026-06-04T00:00:00,2026-05-30T00:00:00,"eve@massive.com,vinita.sales@coralbean.com"
